id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
CMD046977,C0337,P014,Nov 23 2023,-1,10789.99,OK,Tanger,Virement,,2023-11-24
CMD043998,C0077,P037,2024-07-28,-1,0.0,annulé,Agadir,Cash,,2024-07-29
CMD008133,C0464,P011,2023-10-09,0,4625.15,KO,tanger,Carte,,2023-10-10
CMD026399,C0038,P035,2024-04-17,-3,7755.07,retourné,TNG,Carte,,2024-04-20
CMD036468,C0794,P021,2023-12-21,4,0.0,retourné,tanger,Carte,,2023-12-23
CMD006891,C0331,P045,18/02/2023,4,0.0,,TNG,Carte,,
CMD019942,C0077,P017,14/02/2023,0,0.0,KO,Tanger,Cash,,2023-02-16
CMD027086,C0653,P029,23/11/2023,0,0.0,retourné,Agadir,Virement,,2023-11-25
CMD046622,C0085,P023,2023-04-05,0,7783.25,LIVRE,Tnja,Carte,L032,2023-04-11
CMD012316,C0500,P007,2023-08-10,0,0.0,KO,Rabat,PayPal,,2023-08-11
CMD025270,C0999,P029,14/05/2023,5,9371.25,LIVRE,Casablanca,Virement,,2023-05-21
CMD009653,C0473,P007,Aug 14 2024,1,10734.47,KO,tanger,Carte,,2024-08-17
CMD005510,C0363,P028,29/09/2023,-3,0.0,livré,Fès,PayPal,,
CMD012710,C0302,P013,2024-10-26,0,0.0,,Rabat,PayPal,,
CMD007549,C0055,P003,12/09/2023,5,836.88,KO,TANGER,Cash,,2023-09-16
CMD048099,C0844,P045,07/02/2024,3,2093.8,en_cours,TANGER,Virement,,2024-02-08
CMD045907,C0638,P031,07/04/2023,3,2084.28,DONE,Fès,Cash,,2023-04-08
CMD021893,C0022,P012,2024-11-13,3,8166.48,en_cours,Rabat,PayPal,L038,2024-11-15
CMD001140,C0581,P044,28/04/2024,0,6062.6,LIVRE,Tanger,Carte,,2024-05-02
CMD035764,C0264,P043,May 17 2024,-2,0.0,KO,Casablanca,Virement,,2024-05-24
CMD017691,C0703,P034,2024-09-02,-3,10282.37,en_cours,tanger,PayPal,,2024-09-08
CMD005851,C0199,P025,2024-03-17,0,0.0,,TANGER,Cash,,2024-03-20
CMD018105,C0317,P013,Feb 05 2024,0,8436.94,OK,Rabat,PayPal,,2024-02-08
CMD044927,C0151,P030,23/04/2023,-1,7504.35,KO,Marrakech,PayPal,L019,2023-04-24
CMD018548,C0846,P038,09/04/2024,-3,0.0,en_cours,TANGER,Carte,,2024-04-12
CMD010161,C0977,P006,May 29 2024,0,2400.89,KO,Fès,Cash,,2024-05-31
CMD027694,C0409,P007,Nov 25 2024,0,0.0,en_cours,Rabat,Cash,,2024-11-27
CMD019731,C0313,P006,Mar 02 2024,0,5560.79,OK,TANGER,PayPal,,2024-03-08
CMD030696,C0363,P028,Nov 17 2023,-2,5562.34,OK,Casablanca,Carte,,2023-11-20
CMD024453,C0131,P040,Sep 06 2023,-1,0.0,DONE,Fès,PayPal,L043,2023-09-13
CMD005549,C0057,P018,2024-06-14,0,0.0,retourné,Tanger,Virement,L004,2024-06-20
CMD045979,C0210,P034,Jun 07 2024,0,11608.98,annulé,Tanger,Cash,,2024-06-08
CMD007518,C0069,P001,May 11 2024,2,6261.88,annulé,TANGER,Carte,L031,2024-05-15
CMD019656,C0415,P031,05/02/2024,0,0.0,LIVRE,tanger,PayPal,,
CMD011192,C0524,P048,May 26 2023,-3,0.0,LIVRE,TANGER,PayPal,,2023-05-30
CMD027322,C0834,P028,15/12/2024,-3,0.0,livré,Marrakech,Virement,,2024-12-21
CMD023248,C0986,P009,2024-09-26,-1,3359.0,en_cours,Tanger,Cash,,2024-10-01
CMD023060,C0672,P047,06/03/2023,-2,8596.43,KO,TNG,Virement,L026,2023-03-12
CMD039705,C0675,P012,2024-05-10,0,0.0,DONE,Marrakech,Virement,,2024-05-15
CMD001935,C0873,P047,18/02/2024,2,0.0,retourné,Tanger,Virement,,2024-02-25
CMD047721,C0914,P025,31/08/2023,4,7362.25,livré,TNG,Carte,,2023-09-06
CMD007056,C0716,P029,31/01/2023,0,6906.67,annulé,Casablanca,Virement,,2023-02-02
CMD028447,C0834,P034,Jul 26 2023,0,339.7,annulé,TNG,Carte,L009,2023-07-30
CMD022329,C0190,P044,Aug 04 2024,5,0.0,,tanger,Virement,,2024-08-11
CMD028018,C0641,P025,22/05/2023,1,0.0,LIVRE,Marrakech,Carte,,
CMD014682,C0842,P019,2024-07-07,0,4326.97,KO,Tanger,Carte,,2024-07-12
CMD026164,C0634,P004,Sep 17 2024,5,0.0,livré,Tnja,Carte,,2024-09-20
CMD035854,C0837,P047,02/03/2023,3,2865.63,livré,TANGER,Virement,,2023-03-07
CMD008485,C0278,P047,Mar 24 2023,1,5984.33,en_cours,Marrakech,PayPal,,2023-03-26
CMD012857,C0548,P039,22/01/2023,0,0.0,livré,Tanger,PayPal,,2023-01-26
CMD009029,C0119,P029,2024-12-19,-1,0.0,OK,Fès,Carte,,
CMD035142,C0582,P003,11/01/2023,1,9760.83,livré,Rabat,Cash,,2023-01-14
CMD019164,C0133,P039,Dec 25 2023,0,1512.4,LIVRE,TANGER,Virement,,2023-12-31
CMD046736,C0310,P024,01/01/2024,0,0.0,en_cours,Marrakech,Carte,,2024-01-07
CMD005142,C0209,P009,2024-09-28,-3,8915.81,LIVRE,Tnja,Virement,,2024-09-29
CMD042593,C0783,P030,Aug 29 2023,-3,0.0,KO,Marrakech,PayPal,,2023-08-30
CMD032464,C0020,P025,Oct 13 2023,4,0.0,DONE,Rabat,PayPal,L035,2023-10-14
CMD039895,C0773,P022,2024-07-08,3,0.0,OK,Tanger,PayPal,,2024-07-15
CMD047271,C0955,P044,Apr 22 2023,-1,0.0,DONE,Rabat,PayPal,,2023-04-24
CMD044735,C0974,P018,16/05/2023,0,0.0,livré,Tnja,Virement,,2023-05-23
CMD008147,C0315,P037,Oct 30 2024,3,5353.51,retourné,Tanger,Carte,L030,2024-11-03
CMD026779,C0060,P038,Oct 15 2024,0,6639.8,retourné,TANGER,Cash,,2024-10-18
CMD041310,C0179,P010,21/05/2024,5,2830.44,DONE,TANGER,PayPal,,
CMD016872,C0017,P044,22/08/2023,0,584.56,en_cours,Tnja,Carte,,2023-08-27
CMD021351,C0585,P024,21/03/2023,0,0.0,DONE,TANGER,Carte,,2023-03-24
CMD030847,C0966,P019,Feb 22 2024,5,0.0,DONE,Casablanca,Carte,,2024-02-25
CMD038109,C0730,P023,Jun 07 2024,0,439.56,OK,Fès,Carte,,2024-06-12
CMD035322,C0751,P008,Oct 07 2024,0,0.0,en_cours,Rabat,Virement,,2024-10-09
CMD015132,C0467,P021,03/12/2023,1,0.0,en_cours,Casablanca,Carte,,2023-12-06
CMD015097,C0460,P027,2024-10-31,2,11112.32,OK,Agadir,Cash,,2024-11-03
CMD026772,C0432,P033,18/11/2023,-1,7609.93,DONE,tanger,PayPal,,2023-11-21
CMD006619,C0130,P003,Jul 21 2024,0,2044.88,DONE,Marrakech,PayPal,,2024-07-27
CMD007801,C0345,P022,24/07/2024,0,1337.87,LIVRE,Tnja,Virement,,2024-07-30
CMD045883,C0138,P047,2024-03-22,0,11000.29,DONE,Marrakech,Carte,,2024-03-28
CMD028744,C0181,P033,2024-04-09,5,0.0,en_cours,Casablanca,Carte,,2024-04-14
CMD021156,C0394,P021,2024-06-04,2,9777.15,OK,Tnja,Virement,,2024-06-07
CMD018865,C0281,P032,19/10/2023,4,0.0,LIVRE,tanger,Cash,,2023-10-21
CMD001793,C0613,P003,Jul 19 2024,5,129.65,en_cours,TNG,Cash,,2024-07-23
CMD019330,C0941,P008,17/06/2024,-2,5944.4,DONE,Marrakech,Virement,,2024-06-20
CMD047669,C0077,P021,Mar 22 2023,-1,3349.49,en_cours,TANGER,Carte,L028,2023-03-29
CMD036581,C0677,P041,2024-06-17,0,145.25,OK,TANGER,Cash,,2024-06-19
CMD018521,C0135,P013,11/05/2024,0,9005.88,OK,Marrakech,Carte,,2024-05-17
CMD045088,C0270,P040,02/07/2023,0,0.0,retourné,Rabat,Cash,,2023-07-05
CMD041290,C0402,P039,2024-11-15,-1,3580.24,LIVRE,Marrakech,Virement,,2024-11-21
CMD030457,C0980,P021,11/03/2024,0,4807.17,retourné,TNG,PayPal,,2024-03-12
CMD014098,C0912,P027,2023-10-25,-1,0.0,OK,Fès,PayPal,,2023-10-26
CMD022272,C0652,P003,2023-10-02,-2,2694.66,,TANGER,Cash,,2023-10-07
CMD039647,C0553,P002,2024-09-17,1,0.0,en_cours,TNG,Carte,L042,2024-09-20
CMD035108,C0406,P046,02/07/2024,2,0.0,OK,TNG,Cash,,2024-07-03
CMD006719,C0514,P026,06/02/2023,4,3432.92,annulé,Fès,Cash,,2023-02-13
CMD008598,C0838,P048,Jan 22 2024,3,0.0,livré,Rabat,Carte,,2024-01-24
CMD025633,C0199,P039,Apr 08 2023,-2,6172.65,KO,Agadir,Virement,,
CMD024680,C0299,P028,Nov 02 2024,-3,0.0,KO,Marrakech,Cash,L025,2024-11-08
CMD046831,C0111,P029,2024-02-08,2,4798.32,retourné,Fès,Virement,,2024-02-11
CMD006252,C0575,P011,07/12/2023,0,3037.13,OK,tanger,PayPal,,2023-12-14
CMD016517,C0422,P020,27/08/2023,3,0.0,livré,Marrakech,Virement,,2023-09-03
CMD020514,C0983,P042,May 15 2024,-2,8520.97,LIVRE,Marrakech,PayPal,L045,2024-05-22
CMD007962,C0171,P013,14/01/2023,4,0.0,DONE,Fès,PayPal,,2023-01-18
CMD007706,C0446,P019,13/02/2024,-1,0.0,DONE,Tnja,Cash,,2024-02-20
CMD034039,C0620,P017,Sep 20 2024,4,11237.62,DONE,Casablanca,PayPal,,2024-09-22
CMD020437,C0719,P013,26/04/2024,2,0.0,LIVRE,Tanger,Carte,,2024-04-27
CMD014814,C0354,P041,Dec 25 2023,-3,0.0,KO,Fès,Virement,,2023-12-28
CMD005078,C0607,P010,Jul 28 2024,1,0.0,LIVRE,TANGER,Cash,,2024-08-01
CMD039635,C0284,P048,Dec 05 2023,-1,2551.22,annulé,Agadir,Cash,,2023-12-07
CMD021191,C0080,P004,2023-06-18,-1,0.0,en_cours,Tanger,Virement,,2023-06-23
CMD046285,C0486,P023,2024-02-07,-1,6391.69,DONE,Rabat,Virement,,2024-02-12
CMD044917,C0124,P036,2024-03-28,-1,0.0,retourné,Tnja,Virement,,2024-04-02
CMD011732,C0956,P048,2023-07-15,-3,4363.85,livré,Casablanca,Virement,L022,2023-07-18
CMD017894,C0035,P042,29/05/2024,-1,0.0,KO,Agadir,Carte,,
CMD032133,C0178,P031,Apr 27 2024,5,4465.93,DONE,Marrakech,Cash,,2024-04-28
CMD020594,C0100,P035,2023-02-27,0,7387.35,en_cours,Tanger,Virement,,2023-03-04
CMD043549,C0413,P027,Jan 11 2024,1,9909.32,KO,Tanger,Carte,,
CMD026821,C0178,P041,15/09/2024,-2,6748.68,en_cours,Fès,PayPal,,2024-09-20
CMD005936,C0187,P047,19/04/2024,-3,7114.22,DONE,tanger,Carte,,2024-04-20
CMD048373,C0136,P020,2023-09-10,0,0.0,DONE,TANGER,Virement,,2023-09-13
CMD016998,C0715,P029,24/07/2023,-3,0.0,en_cours,Tnja,PayPal,,2023-07-25
CMD035256,C0583,P014,2024-08-22,0,0.0,annulé,TNG,Virement,,2024-08-28
CMD013810,C0265,P014,03/10/2023,4,11066.94,retourné,Fès,Cash,,2023-10-08
CMD002219,C0331,P045,Jan 22 2024,-1,10438.48,DONE,Agadir,PayPal,,2024-01-23
CMD010666,C0479,P035,2023-07-11,-3,0.0,OK,Tnja,PayPal,,2023-07-17
CMD031625,C0695,P026,Jan 18 2024,3,9169.92,OK,Casablanca,PayPal,,2024-01-22
CMD033568,C0171,P020,30/08/2024,0,2421.62,DONE,TNG,Virement,L004,2024-09-06
CMD025952,C0170,P030,2023-05-25,1,2444.86,KO,Marrakech,Virement,,2023-05-27
CMD010102,C0702,P036,23/03/2024,-3,1953.99,retourné,TANGER,PayPal,,2024-03-29
CMD006280,C0397,P009,2024-01-21,-3,0.0,OK,TANGER,PayPal,L035,2024-01-27
CMD039881,C0183,P050,23/08/2024,-2,4111.22,OK,TANGER,Carte,,2024-08-25
CMD028535,C0096,P022,15/02/2023,4,0.0,KO,Tnja,PayPal,,2023-02-18
CMD026098,C0699,P034,07/03/2024,1,4188.13,OK,TNG,Carte,,2024-03-12
CMD000760,C0498,P042,Jan 29 2024,4,0.0,LIVRE,Marrakech,PayPal,,2024-02-04
CMD007319,C0805,P012,Dec 10 2023,-1,10450.26,DONE,Casablanca,Carte,,2023-12-12
CMD028501,C0050,P030,Jun 11 2024,3,0.0,en_cours,Marrakech,Carte,,2024-06-15
CMD001543,C0556,P018,Dec 12 2023,-2,0.0,en_cours,Tnja,Virement,L041,2023-12-15
CMD016295,C0180,P006,Feb 07 2023,5,0.0,OK,Rabat,Virement,,2023-02-09
CMD002664,C0079,P021,Jun 20 2024,3,7331.77,OK,Marrakech,Carte,,2024-06-24
CMD016834,C0739,P042,15/02/2024,1,0.0,KO,TNG,Cash,,
CMD028636,C0282,P048,2024-08-10,0,0.0,DONE,TANGER,Virement,L018,2024-08-11
CMD018008,C0274,P030,Feb 29 2024,-1,1210.91,livré,TNG,Virement,L015,2024-03-06
CMD038530,C0431,P041,Dec 30 2024,0,4699.02,en_cours,Marrakech,Virement,,2025-01-01
CMD013805,C0546,P045,Apr 18 2024,-1,3105.53,LIVRE,Marrakech,PayPal,,
CMD019125,C0769,P021,2024-06-26,-1,403.3,en_cours,Tnja,PayPal,,
CMD015383,C0385,P035,Oct 18 2023,0,11388.39,LIVRE,Marrakech,PayPal,,2023-10-23
CMD048134,C1003,P026,24/10/2023,-2,0.0,KO,TNG,Virement,,2023-10-30
CMD032920,C0549,P035,Dec 04 2024,-3,0.0,KO,Casablanca,PayPal,,2024-12-07
CMD030411,C0672,P012,Jan 04 2023,0,0.0,OK,Casablanca,Cash,L041,2023-01-06
CMD005277,C0614,P037,Sep 16 2024,-3,7337.26,retourné,Fès,Carte,L024,2024-09-23
CMD033511,C0885,P013,2024-10-31,-2,8690.57,DONE,Fès,PayPal,,2024-11-03
CMD037854,C0473,P030,08/03/2023,0,5351.66,DONE,TANGER,PayPal,,2023-03-13
CMD030292,C0740,P005,06/12/2023,1,0.0,,TANGER,PayPal,L025,2023-12-09
CMD042408,C0547,P046,04/07/2024,-2,9941.66,KO,Agadir,PayPal,,
CMD041240,C0666,P029,Feb 14 2024,4,0.0,LIVRE,Fès,Cash,,2024-02-16
CMD017335,C0100,P022,2023-09-06,0,5924.34,KO,TANGER,Virement,,2023-09-13
CMD037240,C0282,P039,Apr 06 2024,1,6285.26,annulé,Tnja,Virement,,2024-04-09
CMD031149,C0731,P029,Jun 12 2023,0,9672.12,DONE,Tnja,Virement,,2023-06-13
CMD009724,C0599,P001,Aug 05 2023,0,0.0,retourné,Tnja,Cash,,2023-08-12
CMD024535,C0388,P032,2024-05-28,-1,0.0,livré,Fès,Carte,,2024-05-30
CMD047761,C0809,P008,2023-06-03,-2,5538.89,,Agadir,Cash,,2023-06-04
CMD021596,C0520,P005,Feb 13 2024,0,10166.94,livré,tanger,PayPal,,2024-02-16
CMD014965,C0707,P046,Jul 07 2023,4,0.0,,TANGER,Virement,,2023-07-14
CMD019842,C0063,P014,07/03/2023,0,0.0,retourné,Fès,Carte,,
CMD031346,C0120,P029,11/10/2024,1,1243.52,retourné,TANGER,Virement,L037,2024-10-18
CMD042116,C0200,P038,Apr 25 2023,5,0.0,KO,Marrakech,PayPal,,2023-04-29
CMD017315,C0889,P035,2024-06-10,-2,0.0,retourné,Tnja,Carte,,2024-06-13
CMD010691,C0184,P005,2024-06-05,-1,0.0,en_cours,Marrakech,Cash,,2024-06-07
CMD020014,C0328,P050,2023-08-07,5,8232.72,DONE,Fès,Virement,,2023-08-14
CMD043424,C0161,P021,25/06/2023,0,0.0,KO,Agadir,Cash,,2023-07-02
CMD020070,C0342,P047,2023-11-07,-1,0.0,OK,TNG,PayPal,,2023-11-08
CMD029943,C0786,P018,2024-02-23,1,0.0,KO,TNG,Virement,,2024-02-27
CMD048433,C0205,P014,Nov 30 2023,-1,10284.02,LIVRE,Fès,Cash,,2023-12-06
CMD043216,C0400,P045,2024-08-30,-3,0.0,livré,Tanger,Carte,,2024-09-04
CMD007277,C0484,P009,2024-01-14,0,4994.64,DONE,Tnja,Virement,,2024-01-18
CMD035822,C0782,P043,2023-09-09,0,9816.85,DONE,Agadir,Carte,,2023-09-16
CMD012068,C0329,P030,2024-01-05,-2,0.0,KO,TANGER,Carte,L009,2024-01-09
CMD034630,C0062,P033,2024-02-10,0,5274.62,,Tanger,Virement,,2024-02-13
CMD037048,C0095,P036,11/10/2024,1,9593.16,retourné,tanger,Cash,L049,2024-10-15
CMD048427,C0156,P042,2023-10-11,3,0.0,retourné,Marrakech,PayPal,,2023-10-12
CMD000560,C0231,P021,2024-09-30,-3,0.0,,Tanger,PayPal,,2024-10-07
CMD010002,C0194,P050,2024-08-11,-3,2219.96,,Agadir,Carte,,2024-08-12
CMD043134,C0214,P013,2023-12-02,-3,11892.49,annulé,TANGER,Virement,,2023-12-06
CMD029095,C0889,P048,2023-05-07,2,0.0,annulé,Tanger,Cash,,2023-05-08
CMD037900,C0742,P034,06/04/2023,1,0.0,en_cours,Fès,Virement,,2023-04-07
CMD016731,C0521,P008,2024-06-03,4,0.0,OK,Marrakech,Carte,,2024-06-10
CMD015032,C0719,P006,2023-03-08,4,0.0,en_cours,Tnja,Carte,,2023-03-13
CMD010208,C0144,P045,10/01/2023,4,7174.64,KO,Fès,Virement,,2023-01-14
CMD009921,C0760,P043,26/06/2023,2,9449.35,retourné,Fès,Cash,,2023-07-03
CMD001867,C0803,P002,Sep 29 2023,-3,458.96,OK,Casablanca,Carte,,2023-10-05
CMD006562,C0016,P023,21/06/2024,-3,11858.89,retourné,TNG,PayPal,,2024-06-25
CMD020410,C0488,P031,May 18 2023,-3,0.0,LIVRE,Tanger,PayPal,,2023-05-23
CMD033734,C0133,P010,20/07/2023,2,0.0,KO,TANGER,Carte,,2023-07-26
CMD046561,C0998,P030,2024-11-06,0,0.0,DONE,Casablanca,Virement,,2024-11-11
CMD041411,C0050,P013,Feb 05 2023,2,7633.84,DONE,Rabat,PayPal,L021,2023-02-09
CMD026586,C0463,P014,19/12/2023,-1,6573.26,KO,Agadir,Virement,,2023-12-26
CMD043467,C0099,P043,May 14 2024,-1,0.0,OK,Marrakech,Carte,,
CMD036076,C0730,P019,13/04/2024,-2,5458.15,,tanger,Cash,,2024-04-18
CMD001096,C0204,P047,19/07/2023,0,9370.26,,TANGER,Virement,,2023-07-24
CMD006563,C0697,P011,2023-06-20,0,0.0,annulé,TNG,Virement,,2023-06-25
CMD021098,C0140,P047,2024-03-07,3,0.0,annulé,Marrakech,Carte,,2024-03-09
CMD025641,C0806,P011,07/05/2024,0,0.0,LIVRE,TANGER,Cash,,2024-05-08
CMD013490,C0455,P010,Aug 22 2024,3,0.0,,TNG,Carte,,2024-08-24
CMD008184,C0555,P048,2024-11-07,5,0.0,KO,Tnja,Carte,,2024-11-08
CMD038338,C0173,P046,2024-10-03,4,6297.93,en_cours,Rabat,Cash,,2024-10-07
CMD018364,C0863,P047,07/03/2024,0,0.0,KO,tanger,Virement,L006,2024-03-14
CMD032439,C0227,P038,12/05/2024,-1,0.0,,Agadir,PayPal,,2024-05-18
CMD007065,C0605,P042,27/01/2024,1,1453.81,en_cours,Agadir,PayPal,,2024-01-30
CMD037575,C0885,P034,2024-10-24,0,0.0,livré,Marrakech,Cash,,
CMD027011,C0822,P002,03/12/2023,-2,0.0,en_cours,Tnja,Cash,,2023-12-06
CMD010525,C0215,P036,Apr 14 2024,-1,0.0,DONE,Tnja,PayPal,,2024-04-19
CMD006639,C0937,P047,2023-08-22,-1,0.0,DONE,Tnja,PayPal,,2023-08-26
CMD023689,C0773,P011,2023-12-26,2,0.0,,Marrakech,Virement,,2023-12-30
CMD013017,C0096,P006,Sep 25 2024,-1,10233.9,en_cours,tanger,Virement,,2024-09-26
CMD005388,C0332,P015,Oct 28 2023,4,0.0,livré,Agadir,PayPal,,2023-10-30
CMD042461,C0832,P014,09/09/2023,-3,2961.98,retourné,Marrakech,PayPal,,2023-09-14
CMD033986,C0595,P026,2023-07-16,0,0.0,KO,TNG,PayPal,,2023-07-18
CMD005049,C0982,P045,Nov 24 2023,0,3000.4,LIVRE,Casablanca,PayPal,,2023-12-01
CMD047027,C0719,P042,10/09/2024,-3,3266.14,retourné,Casablanca,PayPal,,2024-09-12
CMD036635,C0666,P004,Jan 23 2023,0,0.0,LIVRE,Marrakech,Virement,,2023-01-29
CMD032166,C0442,P046,Jan 29 2023,2,0.0,,Agadir,Virement,,2023-02-03
CMD044652,C0601,P021,21/02/2024,1,0.0,LIVRE,Fès,Carte,L040,2024-02-27
CMD016306,C1004,P039,Jun 15 2023,2,0.0,LIVRE,TANGER,Virement,L006,2023-06-20
CMD026711,C0391,P045,Dec 18 2024,-3,0.0,en_cours,Rabat,Cash,,2024-12-22
CMD026308,C0206,P015,03/04/2023,0,0.0,LIVRE,Tnja,Virement,,
CMD006259,C0173,P001,24/07/2024,5,0.0,livré,Casablanca,Virement,,2024-07-29
CMD014312,C1000,P023,25/05/2024,1,7216.63,retourné,Fès,Cash,,2024-05-29
CMD035232,C0910,P008,Feb 01 2023,3,4221.2,,Tanger,Cash,,2023-02-03
CMD043155,C0562,P025,2024-09-19,0,0.0,annulé,Marrakech,Virement,,2024-09-23
CMD023483,C0061,P031,2023-07-12,0,0.0,,Tanger,PayPal,,2023-07-15
CMD012979,C0300,P041,25/11/2023,-2,0.0,livré,Marrakech,PayPal,,2023-11-30
CMD018822,C0790,P044,2024-02-03,1,2297.54,KO,Marrakech,Cash,,2024-02-08
CMD025225,C0193,P023,29/01/2023,0,10490.78,,Tnja,Virement,,
CMD012171,C0914,P015,08/08/2023,0,2483.12,livré,Marrakech,Carte,,2023-08-09
CMD043228,C0834,P022,25/10/2023,2,0.0,livré,TANGER,Cash,,2023-10-31
CMD046542,C0885,P041,2023-09-22,0,0.0,OK,Agadir,Carte,,2023-09-25
CMD039331,C0011,P041,2023-07-14,0,9217.16,annulé,Tnja,Carte,L041,2023-07-21
CMD035189,C0336,P011,15/05/2024,0,0.0,KO,TNG,Virement,,2024-05-16
CMD005670,C0569,P032,2023-05-03,0,0.0,retourné,TANGER,Carte,,
CMD045457,C0826,P005,02/02/2024,0,4482.28,retourné,tanger,Carte,,2024-02-04
CMD002868,C0583,P001,Aug 04 2023,-2,0.0,retourné,Casablanca,Cash,L042,2023-08-06
CMD014762,C0189,P041,Oct 26 2023,0,8668.11,retourné,tanger,Carte,,2023-10-31
CMD020812,C0059,P008,14/06/2023,0,6434.57,en_cours,Fès,Virement,,2023-06-20
CMD000225,C0577,P004,28/08/2023,4,10291.19,,Rabat,Carte,,2023-09-01
CMD018512,C0703,P040,Aug 08 2024,0,0.0,KO,Rabat,Virement,,2024-08-10
CMD014670,C0148,P019,Apr 10 2024,-2,0.0,livré,Casablanca,PayPal,,
CMD014876,C0412,P009,Feb 25 2024,-3,0.0,retourné,Fès,PayPal,,2024-02-28
CMD008724,C0741,P034,Nov 30 2023,2,8565.45,en_cours,Rabat,PayPal,,2023-12-04
CMD013993,C0403,P010,Jan 19 2024,0,0.0,OK,Tnja,Carte,,2024-01-21
CMD028298,C0185,P029,2024-11-06,1,4662.35,KO,Fès,Cash,,2024-11-13
CMD020742,C0480,P016,22/07/2023,-2,7343.78,LIVRE,Rabat,Carte,L006,
CMD020533,C0954,P023,2023-02-24,2,0.0,LIVRE,tanger,Virement,,2023-03-03
CMD046112,C0180,P019,2024-04-02,0,1959.76,DONE,Casablanca,PayPal,,2024-04-06
CMD041202,C0481,P045,Jun 12 2023,3,11714.69,retourné,Fès,Carte,L049,2023-06-16
CMD011172,C0786,P002,2024-04-29,-1,11174.76,retourné,Marrakech,Carte,,2024-05-02
CMD011616,C0139,P040,2023-03-29,-1,11005.33,annulé,tanger,Virement,,2023-04-05
CMD032424,C0017,P040,2023-03-27,5,0.0,annulé,Agadir,Virement,L034,2023-03-29
CMD045909,C0314,P017,Feb 23 2023,-2,0.0,LIVRE,TANGER,Virement,L036,2023-02-28
CMD001260,C0310,P025,Jan 11 2023,-2,0.0,OK,Agadir,Virement,,2023-01-18
CMD008674,C0966,P023,2024-03-10,3,0.0,LIVRE,Casablanca,PayPal,L043,2024-03-13
CMD008424,C0826,P049,05/06/2024,1,2166.43,DONE,Tanger,Cash,L050,2024-06-06
CMD040466,C0073,P010,Jan 14 2023,-1,0.0,LIVRE,Casablanca,Carte,,2023-01-20
